run,date,hrs_after_incubation,pipe_nr,treatment,tinytag,minute,ppm
2,10/23/2025,30,22,SCD,D,ppm_6,917
2,10/23/2025,30,21,SCW,E,ppm _room,678
2,10/23/2025,30,21,SCW,E,ppm_0,689
2,10/23/2025,30,21,SCW,E,ppm_1,733
2,10/23/2025,30,21,SCW,E,ppm_2,769
2,10/23/2025,30,21,SCW,E,ppm_3,803
2,10/23/2025,30,21,SCW,E,ppm_4,834
2,10/23/2025,30,21,SCW,E,ppm_5,861
2,10/23/2025,30,21,SCW,E,ppm_6,887
2,10/23/2025,30,24,SUD,F,ppm _room,663
2,10/23/2025,30,24,SUD,F,ppm_0,675
2,10/23/2025,30,24,SUD,F,ppm_1,703
2,10/23/2025,30,24,SUD,F,ppm_2,726
2,10/23/2025,30,24,SUD,F,ppm_3,747
2,10/23/2025,30,24,SUD,F,ppm_4,766
2,10/23/2025,30,24,SUD,F,ppm_5,785
2,10/23/2025,30,24,SUD,F,ppm_6,804
2,10/23/2025,30,18,BUW,G,ppm _room,641
2,10/23/2025,30,18,BUW,G,ppm_0,656
2,10/23/2025,30,18,BUW,G,ppm_1,672
2,10/23/2025,30,18,BUW,G,ppm_2,690
2,10/23/2025,30,18,BUW,G,ppm_3,704
2,10/23/2025,30,18,BUW,G,ppm_4,719
2,10/23/2025,30,18,BUW,G,ppm_5,732
2,10/23/2025,30,18,BUW,G,ppm_6,746
2,10/23/2025,30,23,SUW,H,ppm _room,630
2,10/23/2025,30,23,SUW,H,ppm_0,645
2,10/23/2025,30,23,SUW,H,ppm_1,688
2,10/23/2025,30,23,SUW,H,ppm_2,729
2,10/23/2025,30,23,SUW,H,ppm_3,762
2,10/23/2025,30,23,SUW,H,ppm_4,793
2,10/23/2025,30,23,SUW,H,ppm_5,821
2,10/23/2025,30,23,SUW,H,ppm_6,849
2,10/23/2025,36,20,BUD,A,ppm _room,680
2,10/23/2025,36,20,BUD,A,ppm_0,720
2,10/23/2025,36,20,BUD,A,ppm_1,726
2,10/23/2025,36,20,BUD,A,ppm_2,731
2,10/23/2025,36,20,BUD,A,ppm_3,738
2,10/23/2025,36,20,BUD,A,ppm_4,744
2,10/23/2025,36,20,BUD,A,ppm_5,751
2,10/23/2025,36,20,BUD,A,ppm_6,759
2,10/23/2025,36,19,BCD,B,ppm _room,661
2,10/23/2025,36,19,BCD,B,ppm_0,665
2,10/23/2025,36,19,BCD,B,ppm_1,687
2,10/23/2025,36,19,BCD,B,ppm_2,699
2,10/23/2025,36,19,BCD,B,ppm_3,707
2,10/23/2025,36,19,BCD,B,ppm_4,714
2,10/23/2025,36,19,BCD,B,ppm_5,719
2,10/23/2025,36,19,BCD,B,ppm_6,725
2,10/23/2025,36,17,BCW,C,ppm _room,654
2,10/23/2025,36,17,BCW,C,ppm_0,663
2,10/23/2025,36,17,BCW,C,ppm_1,675
2,10/23/2025,36,17,BCW,C,ppm_2,686
2,10/23/2025,36,17,BCW,C,ppm_3,696
2,10/23/2025,36,17,BCW,C,ppm_4,706
