nr,run,treatment,layer,LOI,tray,well,6-8mg,beriget,comment,Sample Number,Name,Height (nA),N15,Height (nA),13C,Weight,PEAnA,PEA15N,PEAnA,PEA13C,gnsnSTD N weight,gnsnSTD C weight,1nA to x mgN STD,1nA to x mgC STD,mg N in sample,mg C in sample,%N,%C,C/N,d15Nkorr,d13Ckorr
30,4,BCW,bottom,,1,C6,6.404,1,,170,EliseLabSoil_tray1_30.raw,2.81128625,-0.194939292,1.784609625,-26.01699698,6.404,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.032773299,0.474264901,0.511762945,7.405760481,14.47107601,-0.286559141,-26.47864315
31,5,BCW,top,,1,C7,6.379,1,,171,EliseLabSoil_tray1_31.raw,4.8465125,266.9224358,5.8598805,-26.25883145,6.379,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.056499477,1.557279311,0.885710569,24.41259305,27.56272071,266.8308159,-26.72047762
32,5,BCW,middle,14.71172962,1,C8,7.441,1,,172,EliseLabSoil_tray1_32.raw,2.48278125,47.25901005,2.00918825,-25.29451596,7.441,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.028943667,0.533947287,0.388975497,7.175746359,18.44781076,47.1673902,-25.75616213
33,5,BCW,bottom,,1,C9,7.278,1,,173,EliseLabSoil_tray1_33.raw,3.3239535,0.652789267,2.15835525,-26.2263519,7.278,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.038749851,0.573588826,0.532424437,7.881132535,14.80234938,0.561169419,-26.68799807
34,6,BCW,top,,1,C10,6.337,1,,174,EliseLabSoil_tray1_34.raw,4.0713945,413.4534965,5.648402,-24.58963222,6.337,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.047463338,1.501078319,0.748987501,23.68752279,31.62605884,413.3618767,-25.0512784
35,6,BCW,middle,13.8,1,C11,6.974,1,,175,EliseLabSoil_tray1_35.raw,2.1654245,71.37833835,1.64584575,-24.1328456,6.974,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.025243998,0.437388021,0.361973015,6.271695167,17.32641636,71.2867185,-24.59449177
36,6,BCW,bottom,,1,C12,6.116,1,,176,EliseLabSoil_tray1_36.raw,1.440859625,1.036554249,0.958352813,-24.68570907,6.116,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.016797195,0.254684888,0.274643476,4.164239498,15.16234631,0.944934401,-25.14735525
,,,,,,,1.342,,PEACH,177,peach 1342u.raw,3.27444875,1.970194054,2.327599,-25.85282246,1.342,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.038172736,0.618565816,2.844466175,46.09283282,16.20438774,1.878574205,-26.31446863
40,2,BUD,top,,1,D4,6.452,1,,178,EliseLabSoil_tray1_40.raw,5.950194,139.2431094,4.9376135,-26.28429058,6.452,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.069365931,1.312184326,1.07510742,20.3376368,18.91684164,139.1514896,-26.74593676
41,2,BUD,middle,13.88888889,1,D5,7.018,1,,179,EliseLabSoil_tray1_41.raw,2.23028075,174.738473,1.683242875,-21.37426553,7.018,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.026000077,0.447326409,0.370477011,6.373987026,17.20481119,174.6468532,-21.83591171
42,2,BUD,bottom,,1,D6,6.954,1,,180,EliseLabSoil_tray1_42.raw,1.116923375,2.705493323,0.637295125,-23.74110971,6.954,3.758303639,2.071619848,2.689876417,-25.56835382,1.553666667,1.553666667,0.01165776,0.265752742,0.013020824,0.169362927,0.187242222,2.435474934,13.00708201,2.613873475,-24.20275588
