,,,,,,aboveground not sorted,,,aboveground sorted,,,,litter sorted,,,vascular,,,,,,,graminoids,,,bryo+lichen,,,,unidentified,,,dirt,,,poop,,
pipe nr,run,tt,veg_type,cut_treat,wet_treat,bag_g,fresh_g,aboveground_weight_tot_g,bag_g,fresh_g,aboveground_weight_tot_g,weight_sorted_excl.bag_g,litter_bag,litter_weight,where is the sample,vas_bag_g,vascular_weight_g,equ_weight,stem_weight,leaves_weight,rest_weight,where is the sample,grami_bag,graminoid_weight,where is the sample,bryo_bag,bryophyte_weight,lichen_weight,where is the sample,unid_bag,unidentified_weight,where is the sample,dirt_bag,dirt_weight,where is the sample,poop_bag,fresh_poop,dry_poop
45,5,A,S,U,W,6.39,25.17,20.79,6.39,25.17,21.55,3.79,4.95,5.48,papbag,10.05,10.8,0.01,0.58,0.12,0,"equ: epp. box 4 B1, stems: papbag, leaves: epp. box 4 B2",1.09,1.13,epp. box 4 B3,4.94,6.81,0.16,papbag,5,5.38,papbag,1.08,1.13,epp box. 4 B4,-,-,-
46,5,,S,C,W,,,,5.01,19.69,14.08,14.08,5.33,7.21,papbag,5.33,7.22,0.02,0.66,1.15,0.01,"equ: epp. box 1 A6, bus: epp. box 1 A8, stem: papbag, leav: papbag",10.23,10.31,box 1 A1,5.35,6.51,0.15,"papbag, lic: epp. box 1 A7",5.44,8.46,papbag,10.22,10.93,epp. box 1 A2,,,
47,5,,S,C,D,,,,5.38,23.95,17.21,17.21,5.36,7.66,papbag,5.4,7.48,0.12,0.73,1.07,0.09,"equ: epp. box 1 A3, cass: epp. box 1 A4, bus: epp. box 1 A5, stem: papbag, leav: papbag",5.34,5.61,papbag,5.37,10.34,0.4,"papbag, lic: papbag",5.35,6.77,papbag,-,-,-,,,
48,5,B,S,U,D,6.48,27.21,22.78,6.48,27.21,23.59,4.28,6.46,7.18,papbag,10.13,10.81,0.04,0.46,0.26,0,"equ: epp. box 4 A7, leaves: papbag, stems: papbag",1.09,1.13,epp. box 4 A8,6.4,7.96,0.51,papbag,6.39,7.04,papbag,1.09,1.15,epp. box 4 A9,-,-,-
49,6,B,B,U,D,5.09,13.37,12.12,5.09,13.37,12.5,1.85,1.08,1.09,epp. box 4 C9,1.09,1.12,0.03,0,0,0,equ: epp. box 4 D1,1.1,1.15,epp. box 4 D3,6.4,8.12,0,papbag,1.09,1.11,epp. box 4 D2,1.08,1.09,epp. box 4 C8,-,-,-
50,6,,B,C,W,,,,5.31,14.92,12.83,1.88,41.76,41.78,epp. box 2 F2,41.76,41.81,0.03,0.01,0,0,"equ: epp. box 2 E9, stem: epp. box 2 F1",5.01,5.06,papbag,5.06,6.73,0,papbag,41.76,41.86,epp. box 2 F3,-,-,-,-,-,-
51,6,F,B,U,W,6.45,14.8,19.69,6.45,14.8,13.79,1.84,1.01,1.02,epp. box 4 C5,0,0,0,0,0,0,-,1.1,1.13,epp. box 4 C6,5.2,6.91,0,papbag,1.09,1.1,epp. box 4 C7,-,-,-,-,-,-
52,6,,B,C,D,,,,5.33,12.84,11.8,1.62,15.65,15.66,epp. box 2 F6,15.65,15.66,0,0.01,0.00,0,"stem: epp. box 2 F4, leav: epp. box 2 F5",5.03,5.07,papbag,5.03,6.46,0,papbag,1.09,1.15,epp. box 2 F7,1.09,1.14,epp. box 2 F8,-,-,-
53,6,,S,C,D,,,,5.37,25.76,19.31,3.49,4.98,6.09,papbag,15.64,16.00,0.04,0.12,0.21,0,"equ: epp. box 2 F9, stem: papbag, leav: papbag",5,5.17,papbag,4.99,6.05,0.03,"papbag, lic: epp. box 2 G1",5.01,5.47,papbag,-,-,-,-,-,-
54,6,,S,C,W,,,,5.35,22.17,17.15,2.95,5,5.26,papbag,41.76,42.2,0.05,0.23,0.16,0,"equ: epp. box 2 G2, stem: epp. box 2 G4, leav: epp. box 2 G5",4.99,5.09,papbag,5.02,6.67,0.21,"papbag, lic: epp. box 2 G3",5.03,5.24,papbag,41.76,41.77,epp. box 2 G6,-,-,-
55,6,C,S,U,D,6.44,23.33,13.37,6.44,23.33,20.32,3.47,5.15,5.57,papbag,0,0.3,0.01,0.22,0.07,0,"equ: epp. box 4 C1, stem: epp. box 4 C2, leav: epp. box 4 C3",1.1,1.16,epp. box 4 B8,5.13,6.75,0.02,"papbag, lic: epp. box 4 B9",5.15,5.46,papbag,5.1,5.67,papbag,-,-,-
56,6,G,S,U,W,6.45,27.73,20.63,,,,,6.4,7.22,papbag,41.63,42.57,0.03,0.57,0.42,0,"equ: epp. box 4 B7, stem: epp. box 4 C4, leaves: papbag",1.1,1.12,epp. box 4 B5,6.44,7.7,0,papbag,6.38,6.95,papbag,1.09,1.15,epp. box 4 B6,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.1,,#REF!,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
