run,tt,treatment,aboveground,sample_weight,comment,n15_raw,c13_raw,mg_n_in_sample,mg_c_in_sample,n_pct,c_pct,cn_ratio,d15nkorr,d13ckorr,natabun_15n_atm_pct,atom_pct_15n,ape_pct_15n,n_mg_pr_gdw,n15_ug_pr_gdw,n15_ug_pr_gn,natabun_13c_atm_pct,atom_pct_13c,ape_pct_13c,c_mg_pr_gdw,c13_ug_pr_gdw,c13_ug_pr_gc,pipe_nr,pipe_diameter,veg,wet,cut,beriget
2,D,SCD,salix_stem,3.513,,-5.269227873,-30.13394543,0.087286412,1.572976139,2.484668712,44.77586506,18.02085922,-5.205873705,-30.23374134,0.366,0.364353928,-0.001646072,24.84668712,-0.408994273,-16.46071649,1.077,1.07797932,9.7932e-4,447.7586506,4.384990949,9.793202082,22,17,S,D,C,FALSE
2,E,SCW,salix_stem,3.973,,-4.263962681,-29.75645729,0.08179372,1.715300902,2.058739491,43.17394668,20.97105869,-4.200608514,-29.8562532,0.366,0.364720775,-0.001279225,20.58739491,-0.263359194,-12.79225444,1.077,1.078394406,0.001394406,431.7394668,6.020200869,13.94405963,21,17,S,W,C,FALSE
2,F,SUD,salix_stem,3.817,,19.8296976,-30.00585832,0.042805638,1.680411603,1.121447157,44.02440669,39.25678213,19.89305177,-30.10565423,0.366,0.373512341,0.007512341,11.21447157,0.84246931,75.12340682,1.077,1.078120165,0.001120165,440.2440669,4.931460473,11.20165118,24,17,S,D,U,TRUE
2,G,BUW,salix_stem,3.206,,38.9067762,-30.0506415,0.071182678,1.382101157,2.220295618,43.10983022,19.41625695,38.97013037,-30.15043742,0.366,0.380472299,0.014472299,22.20295618,3.213278315,144.722995,1.077,1.078070921,0.001070921,431.0983022,4.616724221,10.70921457,18,17,B,W,U,TRUE
2,H,SUW,salix_stem,3.825,,19.18526063,-28.98103581,0.065560595,1.671208413,1.714002475,43.69172322,25.49105025,19.2486148,-29.08083173,0.366,0.373277211,0.007277211,17.14002475,1.247315845,72.77211456,1.077,1.079247048,0.002247048,436.9172322,9.817740224,22.47048068,23,17,S,W,U,TRUE
2,D,SCD,salix_leaf,3.324,,-4.648998337,-30.58234175,0.051270228,1.46719938,1.542425626,44.13957219,28.61698576,-4.58564417,-30.68213766,0.366,0.364580266,-0.001419734,15.42425626,-0.218983439,-14.19734187,1.077,1.077486259,4.86259e-4,441.3957219,2.146327883,4.862593306,22,17,S,D,C,FALSE
2,E,SCW,salix_leaf,3.974,,-3.686327786,-29.67528202,0.070768083,1.674671842,1.780777116,42.14071066,23.66422518,-3.622973618,-29.77507794,0.366,0.364931567,-0.001068433,17.80777116,-0.190264168,-10.68433364,1.077,1.078483666,0.001483666,421.4071066,6.252273048,14.83665783,21,17,S,W,C,FALSE
2,F,SUD,salix_leaf,3.869,,17.69513114,-29.88914866,0.052473316,1.661125342,1.356250087,42.93422956,31.65657275,17.75848531,-29.98894457,0.366,0.372733519,0.006733519,13.56250087,0.913233528,67.3351867,1.077,1.078248499,0.001248499,429.3422956,5.360334282,12.48499003,24,17,S,D,U,TRUE
2,H,SUW,salix_leaf,3.428,,-4.622334337,-30.39303431,0.052575116,1.497408365,1.533696496,43.68169094,28.48131364,-4.558980169,-30.49283022,0.366,0.364589996,-0.001410004,15.33696496,-0.216251795,-14.10003841,1.077,1.077694424,6.94424e-4,436.8169094,3.033362343,6.944242033,23,17,S,W,U,TRUE
3,A,BCD,equisetum,3.168,,1.553809379,-27.70495365,0.069617423,1.129730727,2.197519676,35.66069214,16.22770095,1.617163547,-27.80474956,0.366,0.366843771,8.43771e-4,21.97519676,0.185420303,8.437708445,1.077,1.080650177,0.003650177,356.6069214,13.01678506,36.50177347,25,17,B,D,C,FALSE
3,B,BCW,equisetum,3.459,,2.314389142,-27.34974851,0.075484761,1.2485181380000001,2.182271212,36.09477125,16.54000248,2.377743309,-27.44954442,0.366,0.367121312,0.001121312,21.82271212,0.244700612,11.21311644,1.077,1.08104074,0.00404074,360.9477125,14.58495763,40.40739732,27,17,B,W,C,FALSE
