run;date;hrs_after_incubation;pipe_nr;treatment;tinytag;minute;ppm;
1;13.10.2025;12;12;BCD;D;ppm _room;620;
1;13.10.2025;12;12;BCD;D;ppm_0;611;
1;13.10.2025;12;12;BCD;D;ppm_1;618;
1;13.10.2025;12;12;BCD;D;ppm_2;621;
1;13.10.2025;12;12;BCD;D;ppm_3;626;
1;13.10.2025;12;12;BCD;D;ppm_4;629;
1;13.10.2025;12;12;BCD;D;ppm_5;632;
1;13.10.2025;12;12;BCD;D;ppm_6;636;
1;13.10.2025;12;13;SUW;E;ppm _room;652;
1;13.10.2025;12;13;SUW;E;ppm_0;673;
1;13.10.2025;12;13;SUW;E;ppm_1;778;
1;13.10.2025;12;13;SUW;E;ppm_2;810;
1;13.10.2025;12;13;SUW;E;ppm_3;831;
1;13.10.2025;12;13;SUW;E;ppm_4;850;
1;13.10.2025;12;13;SUW;E;ppm_5;871;
1;13.10.2025;12;13;SUW;E;ppm_6;887;
1;13.10.2025;12;16;SCD;F;ppm _room;656;
1;13.10.2025;12;16;SCD;F;ppm_0;654;
1;13.10.2025;12;16;SCD;F;ppm_1;692;
1;13.10.2025;12;16;SCD;F;ppm_2;719;
1;13.10.2025;12;16;SCD;F;ppm_3;743;
1;13.10.2025;12;16;SCD;F;ppm_4;765;
1;13.10.2025;12;16;SCD;F;ppm_5;786;
1;13.10.2025;12;16;SCD;F;ppm_6;807;
1;13.10.2025;12;15;SUD;G;ppm _room;650;
1;13.10.2025;12;15;SUD;G;ppm_0;657;
1;13.10.2025;12;15;SUD;G;ppm_1;676;
1;13.10.2025;12;15;SUD;G;ppm_2;696;
1;13.10.2025;12;15;SUD;G;ppm_3;713;
1;13.10.2025;12;15;SUD;G;ppm_4;729;
1;13.10.2025;12;15;SUD;G;ppm_5;746;
1;13.10.2025;12;15;SUD;G;ppm_6;759;
1;13.10.2025;12;11;BUD;H;ppm _room;656;
1;13.10.2025;12;11;BUD;H;ppm_0;655;
1;13.10.2025;12;11;BUD;H;ppm_1;665;
1;13.10.2025;12;11;BUD;H;ppm_2;676;
1;13.10.2025;12;11;BUD;H;ppm_3;683;
1;13.10.2025;12;11;BUD;H;ppm_4;691;
