run,treatment,layer,diameter,tray,position,nr,4-5mg,comment,%N,%C,C/N,d15Nkorr,d13Ckorr,Nat abun (15N),δ15Nkorr,atom% (15N),APE%,N pr DW,15N pr DW,15N pr N ,Nat abun (13C),δ13Ckorr,atom% (13C),APE%,C pr DW,13C pr DW  ,13C pr C 
,,,,,,,,,,,,,,(ATM%),(δ),(% of N),(% excess),(mgN/g DW),(μg/g DW),(μg/g N),(ATM%),(δ),(% of C),(% excess),(mg/g DW),(μg/g DW),(μg/g C)
1,BCW,bottom,fine,1,A11,11,4.338,,1.377,37.90,27.52,-0.61,-27.73,0.366,-0.61,0.366,0.000,13.8,0.0,0.3,1.08,-27.73,1.081,0.001,379,2.78,7.33
1,BCW,bottom,coarse,1,A12,12,4.697,,1.218,37.17,30.52,-0.76,-26.37,0.366,-0.76,0.366,0.000,12.2,0.0,-0.2,1.08,-26.37,1.082,0.002,372,8.28,22.28
,,,,,,,,PEACH,2.819,44.81,15.90,0.26,-25.84,0.366,0.26,0.366,0.000,28.2,0.1,3.5,1.08,-25.84,1.083,0.003,448,12.61,28.13
1,BUD,top,fine,1,B1,13,4.084,,1.260,37.13,29.48,-2.57,-27.94,0.366,-2.57,0.365,-0.001,12.6,-0.1,-6.9,1.08,-27.94,1.081,0.001,371,1.88,5.07
1,BUD,top,coarse,1,B2,14,4.183,,1.314,37.62,28.63,3.84,-25.10,0.366,3.84,0.368,0.002,13.1,0.2,16.5,1.08,-25.10,1.084,0.004,376,13.63,36.23
1,BUD,middle,fine,1,B3,15,4.996,,1.303,35.97,27.62,-0.39,-27.13,0.366,-0.39,0.366,0.000,13.0,0.0,1.1,1.08,-27.13,1.081,0.001,360,4.99,13.88
1,BUD,middle,coarse,1,B4,16,4.527,,1.173,37.83,32.27,-1.27,-26.61,0.366,-1.27,0.366,0.000,11.7,0.0,-2.1,1.08,-26.61,1.082,0.002,378,7.44,19.65
1,BUD,bottom,fine,1,B5,17,4.249,,1.128,36.91,32.72,-2.39,-27.05,0.366,-2.39,0.365,-0.001,11.3,-0.1,-6.2,1.08,-27.05,1.081,0.001,369,5.48,14.84
1,BUD,bottom,coarse,1,B6,18,4.671,,0.672,37.49,55.80,-1.56,-26.62,0.366,-1.56,0.366,0.000,6.7,0.0,-3.2,1.08,-26.62,1.082,0.002,375,7.33,19.55
1,BUW,top,fine,1,B7,19,4.54,,1.463,39.08,26.72,-1.20,-28.26,0.366,-1.20,0.366,0.000,14.6,0.0,-1.8,1.08,-28.26,1.080,0.000,391,0.60,1.54
1,BUW,top,coarse,1,B8,20,4.159,,1.695,38.62,22.79,-0.61,-25.72,0.366,-0.61,0.366,0.000,16.9,0.0,0.3,1.08,-25.72,1.083,0.003,386,11.38,29.46
1,BUW,middle,fine,1,B9,21,5.031,,1.127,35.13,31.17,-3.39,-27.07,0.366,-3.39,0.365,-0.001,11.3,-0.1,-9.8,1.08,-27.07,1.081,0.001,351,5.10,14.53
1,BUW,middle,coarse,1,B10,22,4.867,,1.269,37.72,29.72,-0.71,-26.95,0.366,-0.71,0.366,0.000,12.7,0.0,0.0,1.08,-26.95,1.082,0.002,377,5.99,15.88
1,BUW,bottom,fine,1,B11,23,4.306,,1.173,36.14,30.81,-3.19,-28.26,0.366,-3.19,0.365,-0.001,11.7,-0.1,-9.1,1.08,-28.26,1.080,0.000,361,0.52,1.45
1,BUW,bottom,coarse,1,B12,24,5.031,,0.917,36.33,39.62,-1.32,-26.45,0.366,-1.32,0.366,0.000,9.2,0.0,-2.3,1.08,-26.45,1.082,0.002,363,7.77,21.38
,,,,,,,,PEACH,2.752,46.59,16.93,0.10,-25.96,0.366,0.10,0.366,0.000,27.5,0.1,2.9,1.08,-25.96,1.083,0.003,466,12.46,26.75
,,,,,,,,PEACH,3.214,53.20,16.55,-1.54,-25.23,0.366,-1.54,0.366,0.000,32.1,-0.1,-3.1,1.08,-25.23,1.083,0.003,532,18.50,34.77
1,SCD,top,fine,1,C1,25,4.093,,1.211,47.25,39.03,-2.17,-29.81,0.366,-2.17,0.365,-0.001,12.1,-0.1,-5.4,1.08,-29.81,1.078,-0.002,473,-7.33,-15.51
1,SCD,top,coarse,1,C2,26,4.289,,0.899,48.32,53.73,-5.37,-30.39,0.366,-5.37,0.364,-0.002,9.0,-0.2,-17.0,1.08,-30.39,1.078,-0.002,483,-10.59,-21.91
1,SCD,middle,fine,1,C3,27,4.186,,1.484,41.39,27.90,1.17,-29.00,0.366,1.17,0.367,0.001,14.8,0.1,6.8,1.08,-29.00,1.079,-0.001,414,-2.75,-6.64
1,SCD,middle,coarse,1,C4,28,4.463,,0.925,44.82,48.48,-0.30,-28.41,0.366,-0.30,0.366,0.000,9.2,0.0,1.4,1.08,-28.41,1.080,0.000,448,-0.07,-0.15
1,SCD,bottom,fine,1,C5,29,4.142,,1.454,42.60,29.29,-0.64,-28.92,0.366,-0.64,0.366,0.000,14.5,0.0,0.2,1.08,-28.92,1.079,-0.001,426,-2.48,-5.81
1,SCD,bottom,coarse,1,C6,30,4.045,,0.981,43.28,44.13,0.53,-26.59,0.366,0.53,0.366,0.000,9.8,0.0,4.5,1.08,-26.59,1.082,0.002,433,8.61,19.89
1,SCW,top,fine,1,C7,31,4.767,,1.422,45.18,31.78,-2.09,-29.32,0.366,-2.09,0.365,-0.001,14.2,-0.1,-5.1,1.08,-29.32,1.079,-0.001,452,-4.58,-10.14
